dataid,primary_residence,number_floors,year_moved_into_house,month_moved_into_house,year_house_constructed,foundation_pier_beam,foundation_slab,house_num_rooms,house_square_feet,house_ceiling_height,spend_time_at_home_none,spend_time_at_home_monday,spend_time_at_home_tuesday,spend_time_at_home_wednesday,spend_time_at_home_thursday,spend_time_at_home_friday,ethnicity_asian_pacific_islander,ethnicity_black_african_american,ethnicity_caucasian_other_than_hispanic_or_latino,ethnicity_hispanic_or_latino,ethnicity_native_american_alaska_native,ethnicity_other,ethnicity_decline,sex_males,sex_females,residents_under_5,residents_6_to_12,residents_13_to_18,residents_19_to_24,residents_25_to_34,residents_35_to_49,residents_50_to_64,residents_older_65,education_level,total_annual_income,smartphone_own,smartphone_models,tablet_own,tablet_models,pv_system_own,pv_system_size,electricity_used_monthly,gas_used_monthly,retrofits,retrofits_detail,retrofits_reason,appliance_blender,appliance_toaster,appliance_hairdryer,appliance_iron,appliance_fan,appliance_vacuum,appliance_battery_charger,appliance_electric_lawn,appliance_electric_tools,appliance_pond_garden_pump,irrigation_system,cooking_weekdays_times,cooking_weekends_times,cooking_weekdays_morning,cooking_weekdays_midday,cooking_weekdays_evening,cooking_weekdays_none,cooking_weekends_morning,cooking_weekends_midday,cooking_weekends_evening,cooking_weekends_none,blinds_summer,blinds_winter,thermostat_settings,tv_hours,vehicles_count,ceiling_fans_count,care_energy_cost,reduce_energy_cost,reduce_energy_yes,modify_routines,hvac_central_air_gas_furnace,hvac_central_air_electric_furnace,hvac_twoway_heat_pump,hvac_geothermal_heat_pump,hvac_window_ac,hvac_ductless,hvac_no_ac,hvac_dont_know,compressors_count,compressor1_brand,compressor1_year,compressor1_model,compressor2_brand,compressor2_year,compressor2_model,compressor3_brand,compressor3_year,compressor3_model,air_handler1_brand,air_handler1_year,air_handler1_model,air_handler2_brand,air_handler2_year,air_handler2_model,heating_gas,heating_electric_resistance,heating_electric_heat_pump,heating_plugin_space_heater,heating_none,heating_dont_know,temp_summer_weekday_workday,temp_summer_weekday_morning,temp_summer_weekday_evening,temp_summer_sleeping_hours_hours,temp_summer_weekend_hours,temp_winter_weekday_workday,temp_winter_weekday_morning,temp_winter_weekday_evening,temp_winter_sleeping_hours_hours,temp_winter_weekend_hours,pets,thermostats_count,thermostats_brand,programmable_thermostat_currently_programmed,programmable_thermostat_difficultly,ac_comfortability,house_drafty,ac_cooling_evenly,ac_floor_different_temperatures,ac_cooling_equally_first_warmer,ac_cooling_equally_second_warmer,ac_cooling_equally_third_warmer,change_ac_filters,ac_service_package,ac_service_package_cost,ac_service_date,dishwasher_number,dishwasher_brand,refrigerator_number,refrigerator_brand,clotheswasher_number,clotheswasher_brand,electric_clothesdryer_number,electric_clothesdryer_brand,gas_clothesdryer_number,gas_clothesdryer_brand,electric_waterheater_number,electric_waterheater_brand,gas_waterheater_number,gas_waterheater_brand,electric_ovenrange_number,electric_ovenrange_brand,gas_ovenrange_number,gas_ovenrange_brand,microwaveoven_number,microwaveoven_brand,toasteroven_number,toasteroven_brand,television_number,television_brand,ceilingfan_number,ceilingfan_brand,large_powertools_number,large_powertools_brand,electricvehicle_number,electricvehicle_brand,sprinklersystem_number,sprinklersystem_brand,swimming_pool_pump_number,swimming_pool_pump_brand,water_heater_tankless,light_bulbs_incandescent,light_bulbs_cfl,light_bulbs_led,light_bulbs_halogen,light_bulbs_fluorescent,typical_bulb_lamps,typical_bulb_fans,recessed_lights_location,track_lights_location,electronic_devices_cable_box_number,electronic_devices_dvr_number,electronic_devices_wifi_number,electronic_devices_game_system_number,electronic_devices_on_other
26,Yes,One,2012,September,2008,,Slab,6,2047,10,none,,,,,,,,Caucasian,,,,,2,2,,1,1,,,2,,,Postgraduate degree,$150-000 - $299-000,Yes,Iphone 4S- Nokia 1020,Yes,Ipad- Ipad mini,Yes,6,490 KWH avg over the last 6 months- but not sure this is accurate - Austin Energy records are incomplete and they had issues with solar billing,18.083 CCF,Yes,Added solar,No,once or twice a week,several times a week,several times a week,rarely,daily basis,once or twice a month,daily basis,N/A,once or twice a month,N/A,Yes,Less than 1 hour,Less than 1 hour,Morning,,Evening,,Morning,,Evening,,Most days,Some days,We are generally in agreement,more than 10,2,5,Yes,No,,Yes,Split system with gas furnace,,,,,,,,1,,,,,,,,,,,,,,,,Gas heat (gas furnace),,,,,,82,78,78,76,79,64,69,66,62,67,No,1,nest,Yes,Easy,1,No,,,Individual rooms on the first floor are warmer than others,,,Every 4-6 months,Yes,Stans formerly Strand Bros. - $139/year,Less than a year ago,1,,2,kitchen- utility room,1,,,,1,,,,1,,2,,1,,1,,1,,3,,5,master bedroom- bedroom- bedroom- living area- living area.,,,1,Ford Fusion Energi 2013,1,,,,No,Incandescent,CFL,,,Fluorescent,,,Kitchen- but planning to expand to dining and living room,,,,1,1,
94,Yes,One,2010,,1975,,Slab,3,1713,8,none,,,,,,,,Caucasian,,,,,1,1,,,,,2,,,,College graduate,$100-000 - $149-999,Yes,Droid Incredible - 2010,Yes,Nexus 7 - 2012-08-07,No,,500kWh,10Ccf,No,,N/A,N/A,N/A,daily basis,rarely,once or twice a month,once or twice a month,daily basis,N/A,N/A,N/A,Yes,None,None,,,,I/we do not usually cook at home,,,,I/we do not usually cook at home,Most days,Most days,Our preferences vary 1-2 degrees Fahrenheit,0,1,1,Yes,Yes,$4 ,No,Split system with gas furnace,,,,,,,,1,,,,,,,,,,,,,,,,Gas heat (gas furnace),,,,,,85,77,77,78,77,62,68,68,68,68,No,1,American Standard,Yes,Easy,5,No,Both; the cooling and heating are both even,,,,,Every 2-3 months,No,,1-2 years ago,1,,1,,1,,1,,,,,,1,,,,1,,1,,,,1,,1,,,,,,1,,,,No,Incandescent,CFL,LED,Halogen,Fluorescent,CFL,Halogen,Kitchen,Bathroom and Guest Room,None,None,1,5 or more,There is usually a low power (less than 60W) PC running as a media center and server.
370,Yes,One,2008,,2008,,Slab,8,2682,10 to 16,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,1,,,,,,,2,,Postgraduate degree,$100-000 - $149-999,Yes,I phone 5s date June 2013- Iphone 4s  date June 2012,Yes,I Pad date October 2013,Yes,6.1,June to Nov avg 1-143- Dec to May 306,June to Nov avg 5- Dec to May 22,Yes,Purchased new - LG Washer- LG gas dryer (previous one was electric)- and LG refrigerator in December 11- 2013,No,daily basis,several times a week,once or twice a month,rarely,daily basis,once or twice a week,daily basis,rarely,rarely,N/A,No,An hour or more,An hour or more,,,Evening,,,,Evening,,Rarely or never,Rarely or never,Our preferences vary 3-5 degrees Fahrenheit,more than 10,2,5,Yes,Yes,not sure- just want to get more efficient,Yes,Split system with gas furnace,,,,,,,,1,Rheem,2007,Model # RAPC-042JAZ; S/N 6993 M2607 07505,,,,,,,Rheem,2007,Model # 80PS07EER01; SERIAL # GH5D302F240703316,,,,Gas heat (gas furnace),,,,,,75,75,75,75,75,65,65,68,62,65,No,1,Honeywell VisionPro IAQ Total Home Comfort System,Yes,Easy,5,No,,,Individual rooms on the first floor are warmer than others,,,Every 6-12 months,No,,Less than a year ago,1,"GE Monogram ZB6880NSS 24"" Professional Model Yr 2007",3,LG Model LFX31925ST 30.7 Cu ft Model Yr 2013; Kenmore Chest Freezer Model # 19502 Model Yr 2010; Haier 3 cu ft Model HS04WNCBB Model Yr 2008 (will not have in 2014 & will not replace),1,LG Model WM3470HVA Steam Washer Model Yr 2013,N/A,,1,LG Model WM3470HVA Steam Dryer Model Yr 2013,N/A,,2,Rinnai Tankless Gas water Heaters Model Yr 2007,See Gas range and electric oven Combination below,see below,1 - Range portion is Gas with 4 dual Flame burners/ Oven portion is Electric,Ge Monogram 36 Dual Fuel Professional Range Model Yr 2007,1 - ,Monogram Advantium ZSC1001KSS Convection Oven which is also a Microwave Model Yr 2007,N/A ,,2," Panasonic 58"" Class 1080p Plasma HDTV Model Yr 2008; Toshiba 26"" 720p HD LCD ",5,not sure - Model yr 2007,N/A,,1,2012 Chevrolet Volt,1,Rain Bird ESP Modular Model Yr 2007,N/A,,Yes,,,,,Fluorescent,Fluorescent,Fluorescent,Kitchen- Hallways,N/A,1,2,3,1,
410,Yes,One,2011,,1947,,Slab,8,1299,10,none,,,,,,,,Caucasian,,,,,1,1,,,,,2,,,,Postgraduate degree,$100-000 - $149-999,Yes,Android & iphone 5c,Yes,ipad 2- ipad 3,No,,,,Yes,remodeled 1 bathroom; new fridge,No,daily basis,,daily basis,,daily basis,once or twice a week,,,,daily basis,No,An hour or more,An hour or more,,,Evening,,,Mid-day,,,Most days,Most days,Our preferences vary 3-5 degrees Fahrenheit,10,2,5,Yes,Yes,10%,Yes,Split system with gas furnace,,,,,,,,1,,,,,,,,,,,,,,,,Gas heat (gas furnace),,,,,,84,80,80,76,82,64,78,78,66,76,Yes,1,nest,Yes,Easy,5,Somewhat,,,Individual rooms on the first floor are warmer than others,,,Every 6-12 months,No,,Less than a year ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,CFL,,,Fluorescent,CFL,CFL,,,None,None,1,None,air filters - 2
545,Yes,Two,2008,,2007,,Slab,12,2445,9,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,1,,,,,,,1,1,Postgraduate degree,$75-000 - $99-999,Yes,Samsung Galaxy 2012; Samsung Galaxy SII 2011,Yes,Ipad mini April 2013; Kindle Fire 12/2011,Yes,3.1,1150,24 Ccf,Yes,Electric Kenmore dryer replaced by Gas Kenmore dryer,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrier,2007,24ABA442A0032010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,WHIRLPOOL- GU245SX5SS3- 2007,1,KENMORE- 10678249402- 2006,1,G3-WJRE5500G1WW- 2008,,,1,KENMORE- 110.78002011- 2011,,,1,STATE SELECT WATER HEATER- GS650YBRT- 2007,1 ELECTRIC OVEN,WHIRLPOOL- GBS 307 PRS 01- 2007,1 GAS COOKTOP,WHIRLPOOL- G183064R801- 2007,1,WHIRLPOOL- GT4175SPS-2- 2007,1 CUISINART (CONVECTION/BROILER),CT0 350 PC- 2008?,5,VIZIO V022L HDTV 10A- APRIL 2008; VIZIO VX32L HDTV- OCTOBER 2006 VIZIO M370NV- 2011 SAMSUNG VN32EH4000FX2A- JULY 2011 MITSUBISHI HC4000- DECEMBER 2011,7,BRAND?; CHEN LUEN INDUSTRIES- LTD.- 52-RDT- JUNE 2007,1 FREEZER,GE COMPACT CHEST FREEZER 5- 197D4092P008- 2006,1,CHEVROLET VOLT- VIN 1G1RB6E4XCU122323- MARCH 2011,NOT OPERATIONAL,,,,,,,,,,,,,,,1,1,1,All of the following are always on:  Electric clock radios (2); OOMA VOIP phone service; 6 surge protectors; cable modem- Slingbox 350- DENON RECEIVER (always on standby); 2 TiVo DVRs- 5 wireless phones
545,Yes,Three,2008,,2007,,Slab,12,2445,9,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,1,,,,,,,1,1,Postgraduate degree,$75-000 - $99-999,Yes,Samsung Galaxy 2012; Samsung Galaxy SII 2011,Yes,Ipad mini April 2013; Kindle Fire 12/2011,Yes,3.1,1150,24 Ccf,No,A screen porch is currently being added.  We expect it to be completed by 1/31/2014.  This may have a significant effect on our energy usage.,Yes,rarely,daily basis,daily basis,once or twice a month,daily basis,once or twice a week,daily basis,rarely,rarely,daily basis,No,Less than 1 hour,Less than 1 hour,,,Evening,,,,Evening,,Most days,Some days,Our preferences vary more than 5 degrees Fahrenheit,more than 10,2,6,Yes,Yes,We are already careful so not by much.,Yes,Split system with gas furnace,,,,,,,,1,,,,,,,,,,,,,,,,Gas heat (gas furnace),,,,,,76,76,76,72,76,68,68,68,62,68,No,2,Honeywell,Yes,Moderately difficult,2,Yes,,,Individual rooms on the first floor are warmer than others,Neither; the cooling and heating are both uneven,,Every 2-3 months,No,,Less than a year ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incandescent,CFL,LED,,,CFL,,kitchen- hallways- master bath,,1,2,1,,I leave master bath and kitchen light on during overnight trips.
624,Yes,Two,2012,August,2012,,Slab,7,2100,10,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,2,2,1,1,,,,2,,,Postgraduate degree,$75-000 - $99-999,Yes,iPhone 5 and 5s,Yes,iPad 2,Yes,4.5,400,0,Yes,A lot. Too many to list.,No,rarely,several times a week,rarely,once or twice a week,daily basis,once or twice a week,daily basis,N/A,once or twice a week,N/A,No,Less than 1 hour,Less than 1 hour,,,Evening,,Morning,,Evening,,Most days,Rarely or never,We are generally in agreement,7,1,6,Yes,No,,Yes,,,Heat Pump,,,,,,1,Carrier,2012,will follow up,,,,,,,Carrier,2012,will follow up,,,,,,Electric heat pump,,,,85,85,80,78,80,65,65,70,68,70,Yes,3,Carrier,Yes,Easy,5,No,Both; the cooling and heating are both even,,,,,Every 2-3 months,No,,Less than a year ago,Ill follow up on all these.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,CFL,LED,,,LED,CFL,Master bedroom- living rooms- loft/guestroom,nowhere,None,None,2,None,NAS
936,Yes,One,2009,,1955,,Slab,8,1400,9,none,,,,,,,,Caucasian,,,,,3,1,,2,,,,2,,,Postgraduate degree,$100-000 - $149-999,Yes,iPhone 4s (2012),Yes,ASUS transformer- 2012,Yes,26,175 average,20 Ccf average,Yes,Replaced single pane windows,Yes,daily basis,daily basis,daily basis,once or twice a week,daily basis,once or twice a week,daily basis,once or twice a month,once or twice a week,N/A,No,An hour or more,An hour or more,,,Evening,,,Mid-day,Evening,,Most days,Some days,Our preferences vary 3-5 degrees Fahrenheit,2,2,5,Yes,Yes,10%,Yes,Split system with gas furnace,,,,,,,,1,Amana,?,RCE36A2D,,,,,,,Amana,?,80 SSE,,,,Gas heat (gas furnace),,,,,,86,78,78,79,78,63,69,69,68,69,No,1,Nest,Yes,Easy,5,No,,,Individual rooms on the first floor are warmer than others,,,Every 2-3 months,No,,1-2 years ago,1,Maytag MDBH955AWB,1,Maytag MSD2651HEB,1,Whirlpool Cabrio Platinum,1,Estate TEDS840PQ1,0,,0,,1,Rinnai RL75e,0,,1,Maytag,1,Magic chef MCO153UB,1,Hamilton beach 31506,0,,5,Various,0,,0,,0,,0,,Yes,Incandescent,CFL,LED,Halogen,Fluorescent,LED,Incandescent,Kitchen and living room,NA,1,None,1,None,Night light in kids bathroom
1697,Yes,Two,2010,,2010,,Slab,8,2085,10,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,3,2,,,,,1,1,,College graduate,$300-000 - $1-000-000,Yes,Iphone 5,Yes,Ipad,Yes,3,,,No,,N/A,daily basis,several times a week,daily basis,daily basis,daily basis,once or twice a month,daily basis,rarely,rarely,N/A,Yes,Less than 1 hour,An hour or more,,,Evening,,Morning,,Evening,,Most days,Most days,Our preferences vary 1-2 degrees Fahrenheit,more than 10,2,5,Yes,No,,Yes,,Central air system with electric heating,,,,,,,1,,,,,,,,,,,,,,,,,Electric heat (electric resistance heated furnace),,,,,75,75,71,71,75,69,69,69,69,69,Yes,2,Nest,Yes,Easy,5,No,,,Individual rooms on the first floor are warmer than others,,,Every 6-12 months,No,,Less than a year ago,1,,3,,1,,,,1,,,,1,,,,1,,1,,1,,5,,6,,Lots,,1,,1,,0,,No,,CFL,,,,CFL,CFL,Lots of places,None,4,2,2,2,
1953,Yes,One,1992,,1948,,Slab,8,1600,8,,Monday,,,,,,,Caucasian,,,,,1,1,,,,,,,2,,College graduate,$100-000 - $149-999,Yes,HTC Feb. 2012,Yes,Nook May 2013,No,,800,4 ccf,No,,N/A,rarely,several times a week,several times a week,once or twice a month,daily basis,once or twice a month,daily basis,once or twice a month,rarely,daily basis,No,Less than 1 hour,An hour or more,,,Evening,,,Mid-day,Evening,,Most days,Rarely or never,Our preferences vary 3-5 degrees Fahrenheit,more than 10,2,3,Yes,Yes,,Yes,Split system with gas furnace,,,,,,,,1,International Comfort Products Corp,1998,NCA9036VKD3; L984083146,,,,,,,,,,,,,Gas heat (gas furnace),,,,,,82,78,78,78,78,68,72,72,68,72,No,1,Nest,Yes,Easy,4,Somewhat,,,Individual rooms on the first floor are warmer than others,,,At least once every month,No,,Less than a year ago,1,Maytag Plus 2 ; 1998,1,Kenmore 795.76203.91; 2010,1,Gibson GWT445RG50; 1998,,,1,Gibson  GSG746RF; 1998,,,1,AO Smith; GCV40 200; 2011,,,1,Kenmore 78013; 2010,,,1,Kitchen Aid; KC02220B; 2010?,2,Panasonic  TC-L37U22 - 37 inch Panasonic TC-L32U22 - 32 inch,3,Hunter - bedroom which runs all night in the summer; The other two are rarely run. Brands unknown and are in the office and the living room.,,,1,Chevrolet Volt 2012,,,,,No,Incandescent,CFL,,Halogen,,CFL,Incandescent,Dining room- bathroom,na,2,1,1,None,Computer
